COUNTY,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total
Alameda,14,63,1633,1497,310,43,3560
Alpine,0,0,14,1,0,0,15
Amador,0,0,25,7,8,0,40
Butte,6,0,44,22,17,2,91
Calaveras,0,0,7,0,12,0,19
Colusa,0,0,18,2,10,0,30
Contra Costa,7,2,582,660,203,7,1461
Del Norte,0,0,10,0,15,0,25
El Dorado,1,0,124,6,45,1,177
Fresno,8,1,562,346,197,13,1127
Glenn,0,0,4,0,10,0,14
Humboldt,0,0,99,13,21,1,134
Imperial,0,0,8,13,12,0,33
Inyo,0,0,6,6,26,1,39
Kern,4,0,126,52,119,5,306
Kings,0,0,42,60,45,0,147
Lake,0,0,14,3,0,0,17
Lassen,0,1,4,1,0,0,6
Los Angeles,33,147,7087,11954,842,130,20193
Madera,0,0,53,19,49,0,121
Marin,4,0,445,189,87,5,730
Mariposa,0,0,8,0,8,0,16
Mendocino,0,0,110,11,37,0,158
Merced,10,2,51,37,39,3,142
Modoc,0,0,4,0,8,0,12
Mono,0,0,20,0,12,0,32
Monterey,12,0,233,80,105,1,431
Napa,0,0,312,31,43,2,388
Nevada,0,0,48,7,33,0,88
Orange,9,0,2552,2401,477,38,5477
Placer,0,1,149,102,110,3,365
Plumas,0,0,7,0,0,0,7
Riverside,7,1,902,198,324,9,1441
Sacramento,83,6,768,793,195,7,1852
San Benito,0,0,12,10,25,0,47
San Bernardino,3,3,566,511,288,44,1415
San Diego,2,5,1955,4874,307,56,7199
San Francisco,52,5,669,815,104,26,1671
San Joaquin,0,0,139,174,79,10,402
San Luis Obispo,0,1,304,105,102,1,513
San Mateo,2,36,2039,2085,258,39,4459
Santa Barbara,5,2,281,164,37,3,492
Santa Clara,6,74,3722,11755,549,96,16202
Santa Cruz,1,0,153,89,57,0,300
Shasta,0,0,25,58,7,3,93
Sierra,0,0,1,0,0,0,1
Siskiyou,0,0,20,4,43,0,67
Solano,5,0,231,101,80,4,421
Sonoma,7,0,432,245,90,17,791
Stanislaus,0,0,57,43,37,13,150
Sutter,0,0,10,9,12,0,31
Tehama,0,0,7,4,19,0,30
Trinity,0,0,4,0,2,0,6
Tulare,0,0,42,12,43,22,119
Tuolumne,0,0,32,8,10,0,50
Unknown,0,0,0,11,0,0,11
Ventura,8,0,416,325,125,19,893
Yolo,12,0,195,130,49,0,386
Yuba,0,0,9,7,0,0,16
Total,301,350,27392,40050,5742,624,74459