STATE,COUNTY,LAT,LNG
CA,Alameda,37.647139,-121.912488
CA,Alpine,38.621783,-119.798352
CA,Amador,38.443549,-120.653858
CA,Butte,39.665336,-121.603209
CA,Calavera,38.191068,-120.554107
CA,Colusa,39.177739,-122.237563
CA,Contra Costa,37.919479,-121.951543
CA,Del Norte,41.749903,-123.980998
CA,El Dorado,38.785612,-120.534225
CA,Fresno,36.761006,-119.655019
CA,Glenn,39.602546,-122.4017
CA,Humboldt,40.706655,-123.926176
CA,Imperial,33.040814,-115.3554
CA,Inyo,36.56216,-117.404209
CA,Kern,35.346629,-118.729506
CA,Kings,36.072478,-119.81553
CA,Lake,39.094802,-122.746757
CA,Lassen,40.715287,-120.621223
CA,Los Angeles,34.196398,-118.261862
CA,Madera,37.209821,-119.749802
CA,Marin,38.051367,-122.746396
CA,Mariposa,37.574343,-119.911721
CA,Mendocino,39.432388,-123.442881
CA,Merced,37.194806,-120.722802
CA,Modoc,41.592918,-120.71837
CA,Mono,37.915836,-118.875167
CA,Monterey,36.240104,-121.315578
CA,Napa,38.5071,-122.325904
CA,Nevada,39.297508,-120.771343
CA,Orange,33.675687,-117.777207
CA,Placer,39.062032,-120.722718
CA,Plumas,39.992295,-120.824371
CA,Riverside,33.729828,-116.002239
CA,Sacramento,38.450136,-121.344329
CA,San Benito,36.611651,-121.085811
CA,San Bernardino,34.856661,-116.181571
CA,San Diego,33.023604,-116.776117
CA,San Francisco,37.727239,-123.032229
CA,San Joaquin,37.934982,-121.272244
CA,San Luis Obispo,35.388189,-120.448897
CA,San Mateo,37.414672,-122.371546
CA,Santa Barbara,34.536677,-120.038364
CA,Santa Clara,37.221614,-121.68954
CA,Santa Cruz,37.012347,-122.007789
CA,Shasta,40.760514,-122.043556
CA,Sierra,39.576925,-120.521993
CA,Siskiyou,41.587986,-122.533287
CA,Solano,38.267226,-121.939594
CA,Sonoma,38.525182,-122.92611
CA,Stanislaus,37.562316,-121.002831
CA,Sutter,39.03619,-121.70394
CA,Tehama,40.126157,-122.232274
CA,Trinity,40.647858,-123.114666
CA,Tulare,36.228834,-118.781055
CA,Tuolumne,38.021434,-119.964733
CA,Ventura,34.358748,-119.133145
CA,Yolo,38.679609,-121.90275
CA,Yuba,39.27013,-121.344259